,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1708,Ilana Adir (-Kamarshik),F,19.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 100 metres,
1709,Evelyn Adiru,F,22.0,Uganda,UGA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,
1710,Badathala Adisekhar,M,28.0,India,IND,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Flyweight,
1711,Badathala Adisekhar,M,32.0,India,IND,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Flyweight,
1712,Franck Adisson,M,23.0,France-1,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1713,Franck Adisson,M,26.0,France-1,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
1714,Franck Adisson,M,31.0,France,FRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
1715,Adiyasambuu Tsolmon,F,23.0,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,
1716,Jikirum Adjaluddin,M,21.0,Philippines,PHI,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
1717,Jikirum Adjaluddin,M,25.0,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,
1718,Jikirum Adjaluddin,M,25.0,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1719,Jikirum Adjaluddin,M,25.0,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 200 metres Breaststroke,
1722,Sammi Adjei,M,18.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
1723,Denos Adjima Beche,M,,Cote d'Ivoire,CIV,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",
1724,Christian Donfack Adjoufack,M,28.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,
1725,Amanda Jo Adkins (-Schneider),F,23.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke,
1726,"Bradley Don ""Brad"" Adkins",M,22.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
1727,"Charles ""Chuck"" Adkins",M,20.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
1728,Derrick Ralph Adkins,M,26.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
1729,"Robert Edward ""Bob"" Adlard",M,32.0,Great Britain,GBR,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver
1730,Alan Adler,M,20.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
1731,Alan Adler,M,24.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
1732,Alan Adler,M,28.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
1733,Daniel Adler,M,26.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
1734,Daniel Adler,M,30.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Three Person Keelboat,
1735,Daniel Adler,M,34.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,
1736,Egon Adler,M,23.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",
1737,Egon Adler,M,23.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1738,"Margarete ""Grete"" Adler",F,16.0,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,
1739,"Margarete ""Grete"" Adler",F,16.0,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1740,"Margarete ""Grete"" Adler",F,28.0,Austria,AUT,1924 Summer,1924,Summer,Paris,Diving,Diving Women's Plain High,
1741,Harry Herchel Adler,M,36.0,Clementine V,BRA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Two Person Keelboat,
1742,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,
1743,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,
1744,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,
1745,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,
1746,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,
1747,Lena Kristina Adler,F,18.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,
1748,Uwe Adler,M,20.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Individual,
1749,Uwe Adler,M,20.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,
1750,Herman Aleksandrovich Adlerberg,M,21.0,Bylina-2,RUS,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,
1751,Gregor Nils Henric Adlercreutz,M,37.0,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Individual",
1752,Gregor Nils Henric Adlercreutz,M,37.0,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
1753,Nils August Domingo Adlercreutz,M,45.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Jumping, Individual",
1754,Nils August Domingo Adlercreutz,M,45.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
1755,Nils August Domingo Adlercreutz,M,45.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
1756,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,39.0,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
1757,Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,
1758,Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,
1759,Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,
1760,Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,
1761,Erik William Adlerz,M,15.0,Sweden,SWE,1908 Summer,1908,Summer,London,Diving,Diving Men's Platform,
1762,Erik William Adlerz,M,19.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Platform,Gold
1763,Erik William Adlerz,M,19.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Plain High,Gold
1764,Erik William Adlerz,M,27.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Silver
1765,Erik William Adlerz,M,27.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Plain High,
1766,Erik William Adlerz,M,31.0,Sweden,SWE,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Platform,
1767,Erik William Adlerz,M,31.0,Sweden,SWE,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Plain High,
1768,Mrta Elvira Adlerz (-Hermansson),F,15.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Women's Plain High,
1769,Mrta Elvira Adlerz (-Hermansson),F,23.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Women's Plain High,
1770,Hans Adlhoch,M,41.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",
1771,Hans Adlhoch,M,41.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",
1772,"Rebecca ""Becky"" Adlington",F,19.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
1773,"Rebecca ""Becky"" Adlington",F,19.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1774,"Rebecca ""Becky"" Adlington",F,23.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1775,"Rebecca ""Becky"" Adlington",F,23.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1776,Katrin Adlkofer,F,22.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Women's Two Person Dinghy,
1777,Katrin Adlkofer,F,29.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's Two Person Dinghy,
1778,Hamdi Adly El-Seoudi Ibrahim,M,23.0,Egypt,EGY,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,
1779,Sad Admane,M,,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",
1780,Jane Admans,F,21.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,
1781,Megra Admassou,M,25.0,Ethiopia,ETH,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",
1782,Adriana Johanna Jacoba Admiraal-Meijerink,F,30.0,Netherlands,NED,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Women's Foil, Individual",
1783,Adriana Johanna Jacoba Admiraal-Meijerink,F,34.0,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",
1784,Khadour Adnan,M,25.0,Syria,SYR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,
1785,Mustapha Adnane,M,,Morocco,MAR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
1786,Mustapha Adnane,M,,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,
1787,Gadi Ado,M,20.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,
1788,Gadi Ado,M,20.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,
1789,Adogon,M,,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
1790,Christopher Silas Adolf,M,24.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
1794,Ricardo Adolfo,M,,Philippines,PHI,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Flyweight,
1796,Karl Tage Herbert Adolfsson,M,21.0,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's High Jump,
1797,Lars Olof Melker Adolfsson,M,22.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,
1798,Lars Olof Melker Adolfsson,M,26.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,
1807,Dainius Adomaitis,M,26.0,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze
1808,Svajnas Adomaitis,M,19.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
1809,Daniel Adomako,M,20.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,
1810,Lena Annika Adomat,F,16.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,
1811,Lena Annika Adomat,F,16.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,
1812,Lena Annika Adomat,F,16.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,
1813,Lena Annika Adomat,F,16.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,
1814,Lena Annika Adomat,F,16.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,
1815,Lena Annika Adomat,F,20.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,
1816,Lena Annika Adomat,F,20.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,
1817,Lena Annika Adomat,F,20.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,
1818,Lena Annika Adomat,F,20.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,
1819,Lena Annika Adomat,F,20.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,
1820,Aurimas Adomaviius,M,22.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,
1821,Neil Isaac Adonis,M,31.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,
1822,Ador,M,,France,FRA,1900 Summer,1900,Summer,Paris,Shooting,Shooting Men's Trap,
1823,Istvn Adorjn,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's Road Race, Individual",
1824,Istvn Adorjn,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's Road Race, Team",
1825,Jnos Adorjn,M,34.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
1826,William Adornado,M,21.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,
1827,Jean-Luc Adorno,M,23.0,Monaco,MON,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,
1828,Omar Adorno,M,23.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,
1829,Rubn Adorno Melndez,M,23.0,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
1830,Rubn Adorno Melndez,M,27.0,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,
1831,Barthelmy Adoukonu,M,22.0,Benin,BEN,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,
1832,Martin Natchaba Adouna,M,28.0,Togo,TOG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
1833,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",
1834,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",
1835,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",
1836,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",
1837,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",
1838,Conrad Adriaenssens,M,49.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",
1839,Conrad Adriaenssens,M,53.0,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",
1840,Conrad Adriaenssens,M,53.0,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",
1841,Conrad Adriaenssens,M,53.0,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
1842,J. Adriaenssens,M,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,
1843,Nathan Ghar-Jun Adrian,M,19.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1844,Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1845,Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1846,Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1847,Nathan Ghar-Jun Adrian,M,27.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1848,Nathan Ghar-Jun Adrian,M,27.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1849,Nathan Ghar-Jun Adrian,M,27.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1850,Nathan Ghar-Jun Adrian,M,27.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1851,Vera Adrian,F,22.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
1852,Selvyana Adrian-Sofyan,F,33.0,Indonesia,INA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
1853,Selvyana Adrian-Sofyan,F,37.0,Indonesia,INA,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",
1854,Selvyana Adrian-Sofyan,F,37.0,Indonesia,INA,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
1855,Adriana Aparecida dos Santos,F,21.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
1856,Adriana Aparecida dos Santos,F,25.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
1857,Adriana Aparecida dos Santos,F,29.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1858,"Eduardo ""Bto"" Adriana",M,35.0,Netherlands Antilles,AHO,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Heavyweight,
1859,"Eduardo ""Bto"" Adriana",M,47.0,Netherlands Antilles,AHO,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",
1860,Sharnol Leonard Adriana,M,29.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,
1861,Sharnol Leonard Adriana,M,33.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,
1862,Sharnol Leonard Adriana,M,37.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,
1863,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1864,"Adriana ""Adrianinha"" Moiss Pinto",F,25.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
1865,"Adriana ""Adrianinha"" Moiss Pinto",F,29.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
1866,"Adriana ""Adrianinha"" Moiss Pinto",F,33.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
1867,"Adriana ""Adrianinha"" Moiss Pinto",F,37.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
1868,Elisngela Maria Adriano,F,23.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Shot Put,
1869,Elisngela Maria Adriano,F,32.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,
1870,Elisngela Maria Adriano,F,32.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Discus Throw,
1871,Elisngela Maria Adriano,F,36.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Discus Throw,
1872,Attila Adrovicz,M,30.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1874,Mark J. Adshead,M,25.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Lightweight,
1875,"Fredua Koranteng ""Freddy"" Adu",M,19.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
1876,Carlos Adueza Troll,M,20.0,Chile,CHI,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Single Sculls,
1877,Martha Adusei,F,24.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,
1878,Martha Adusei,F,24.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,
1879,Aduuchiin Baatarkh,M,24.0,Mongolia,MGL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
1880,Serhiy Mykolaiovych Advena,M,20.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1881,Serhiy Mykolaiovych Advena,M,20.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,
1882,Serhiy Mykolaiovych Advena,M,24.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,
1883,Serhiy Mykolaiovych Advena,M,24.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,
1884,Adyaagiin Jgdernamjil,M,27.0,Mongolia,MGL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight,
1886,Erkin Adylbek uulu,M,25.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,
1887,Olga Olegovna Adzhigerskaya,F,26.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,
1888,Rustam Iwanovych Adzhy,M,23.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
1889,Rustam Iwanovych Adzhy,M,27.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
1890,orbergur Aalsteinsson,M,28.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
1891,Silulu A'etonu (-Grey),F,24.0,American Samoa,ASA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,
1893,Max Aeberli,M,,Switzerland,SUI,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",
1894,Adolf Aebersold,M,27.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 50 kilometres Walk,
1895,Regula Aebi (-Anliker),F,22.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,
1899,Klaus Aeffke,M,24.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
1900,"Carl Bror Emil ""Kalle"" Aejemelaeus (-im)",M,29.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Modern Pentathlon,Modern Pentathlon Men's Individual,
1901,Eduard Aellig,M,24.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,
1902,Lon Joseph Aelter (-Freddy),M,22.0,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,
1903,Lon Joseph Aelter (-Freddy),M,22.0,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,
1904,Hansjrg Aemisegger,M,24.0,Switzerland,SUI,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",
1905,"Mechelina Agnes Elisabeth ""Lies"" Aengenendt",F,20.0,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 100 metres,
1906,"Mechelina Agnes Elisabeth ""Lies"" Aengenendt",F,20.0,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,
1907,Jasper Aerents,M,19.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,
1908,Jasper Aerents,M,19.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
1909,Jasper Aerents,M,23.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
1910,Jasper Aerents,M,23.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
1912,Jean Aerts,M,20.0,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",
1913,Jean Aerts,M,20.0,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",
1914,Jean Aerts,M,20.0,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's 1,000 metres Time Trial",
